threshold,recall_in_domain,precision_in_domain,f1_in_domain,false_reject_rate,false_accept_rate
0.58,0.9590789087709005,0.9600646013801204,0.9595715019443832,0.04092109122909944,0.042593172564985904
0.59,0.9589322381930184,0.9604818569120024,0.9597064220183485,0.04106776180698152,0.042123394926401506
0.6,0.9587855676151364,0.9610408703322553,0.9599118942731278,0.041214432384863595,0.0414970247416223
0.61,0.9586388970372544,0.9611764705882353,0.9599060067557644,0.04136110296274567,0.0413404321954275
0.62,0.9584922264593723,0.9613121506325389,0.9599001175088132,0.04150777354062775,0.041183839649232695
0.63,0.9579055441478439,0.9614308847342853,0.959664976856954,0.04209445585215606,0.041027247103037894
0.64,0.9577588735699618,0.961566779561184,0.959659049158645,0.042241126430038134,0.04087065455684309
0.65,0.9574655324141977,0.9619805481874447,0.9597177300793884,0.04253446758580229,0.040400876918258694
0.66,0.9574655324141977,0.9621223286661754,0.9597882819966184,0.04253446758580229,0.04024428437206389
0.67,0.9571721912584336,0.9622530227071661,0.9597058823529412,0.04282780874156644,0.04008769182586909
0.68,0.9570255206805515,0.9625313468063136,0.9597705376185923,0.04297447931944852,0.03977450673347949
0.69,0.9570255206805515,0.9626733549719682,0.9598411297440423,0.04297447931944852,0.039617914187284685
0.7,0.9568788501026694,0.9626678471299985,0.9597646193453475,0.043121149897330596,0.039617914187284685
0.71,0.9568788501026694,0.9626678471299985,0.9597646193453475,0.043121149897330596,0.039617914187284685
0.72,0.9568788501026694,0.9628099173553719,0.9598352214212151,0.043121149897330596,0.03946132164108988
0.73,0.9565855089469053,0.9630832841110455,0.9598233995584989,0.04341449105309475,0.03914813654870028
0.74,0.9565855089469053,0.9635101196631704,0.9600353278869508,0.04341449105309475,0.03867835891011588
0.75,0.9565855089469053,0.9637948869513817,0.9601766654398234,0.04341449105309475,0.03836517381772628
0.76,0.9564388383690232,0.9637895359148685,0.9601001177856302,0.04356116163097683,0.03836517381772628
0.77,0.9564388383690232,0.9639320029563933,0.9601708017374659,0.04356116163097683,0.038208581271531476
0.78,0.9564388383690232,0.9640745121230041,0.9602414960977764,0.04356116163097683,0.038051988725336675
0.79,0.956145497213259,0.9644917887261429,0.960300508212418,0.04385450278674098,0.03758221108675227
0.8,0.9557054854796128,0.9647616227420788,0.9602122015915119,0.04429451452038721,0.037269025994362666
0.81,0.9555588149017307,0.9651851851851851,0.9603478773584905,0.04444118509826929,0.03679924835577827
0.82,0.9554121443238487,0.965609249925882,0.9604836331465645,0.04458785567615137,0.03632947071719386
0.83,0.9554121443238487,0.9658956109134045,0.9606252765078896,0.04458785567615137,0.03601628562480426
0.84,0.9552654737459666,0.9660338178582023,0.9606194690265486,0.044734526254033444,0.03585969307860946
0.85,0.9546787914344382,0.9664439495174462,0.9605253449420793,0.045321208565561745,0.03538991544002505
0.86,0.9545321208565561,0.9667260843731432,0.9605904059040591,0.04546787914344382,0.035076730347635456
0.87,0.9539454385450279,0.9669937555753791,0.9604252805670408,0.04605456145497213,0.03476354525524585
0.88,0.9537987679671458,0.9674204105920857,0.9605612998522894,0.04620123203285421,0.03429376761666145
0.89,0.9532120856556174,0.9675450349858568,0.9603250831178426,0.046787914344382515,0.034137175070466645
0.9,0.9527720739219713,0.968107302533532,0.9603784742755765,0.04722792607802875,0.03351080488568744
0.91,0.9521853916104429,0.968521557511562,0.9602840026625249,0.047814608389557055,0.03304102724710304
0.92,0.9515987092989147,0.9690814040328604,0.9602604898986161,0.04840129070108536,0.03241465706232383
0.93,0.9505720152537401,0.9699191858724933,0.9601481481481482,0.0494279847462599,0.03147510178515503
0.94,0.9498386623643297,0.9709145427286356,0.9602609727164888,0.05016133763567029,0.030378953961791418
0.95,0.9486652977412731,0.9720468890892696,0.9602137767220903,0.0513347022587269,0.02912621359223301
